Compliance_ID,Assessment_Date,Framework,Control_ID,Control_Description,Status,Finding_Type,Business_Unit,Priority,Remediation_Due_Date,Auditor_Notes
COMP-2024-0001,2025-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Security,High,,
COMP-2024-0002,2024-09-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Security,Low,,
COMP-2024-0003,2025-06-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,Operations,Medium,,
COMP-2024-0004,2024-03-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Security,Medium,,
COMP-2024-0005,2025-03-15,ISO 27001,A.9.2,User access management,Compliant,None,Finance,Medium,,
COMP-2024-0006,2025-06-15,NIST SP 800-53,AC-2,Account Management,Compliant,None,HR,Critical,,
COMP-2024-0007,2024-03-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,IT,High,,
COMP-2024-0008,2025-06-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Finance,Medium,,
COMP-2024-0009,2024-09-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Operations,Medium,,
COMP-2024-0010,2024-12-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Operations,Low,,
COMP-2024-0011,2024-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,IT,Low,,
COMP-2024-0012,2024-06-15,SOC 2 Type II,CC4.1,Monitoring controls,In Remediation,Gap,Operations,High,2024-07-26,Patch evidence incomplete for several servers.
COMP-2024-0013,2024-06-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",In Remediation,Gap,Finance,High,2024-08-29,Documentation missing for access reviews.
COMP-2024-0014,2025-06-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Other,Medium,,
COMP-2024-0015,2024-03-15,PCI DSS,10.2,Implement audit trails,In Remediation,Weakness,HR,Low,2024-04-23,Documentation missing for access reviews.
COMP-2024-0016,2025-06-15,ISO 27001,A.9.2,User access management,Compliant,None,IT,Low,,
COMP-2024-0017,2025-09-15,PCI DSS,3.4,Render PAN unreadable (masking/encryption),Compliant,None,HR,High,,
COMP-2024-0018,2024-03-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Security,Medium,,
COMP-2024-0019,2024-03-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,HR,High,,
COMP-2024-0020,2024-03-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Other,Medium,,
COMP-2024-0021,2024-12-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",In Remediation,Gap,HR,Medium,2025-02-06,Documentation missing for access reviews.
COMP-2024-0022,2024-09-15,SOC 2 Type II,CC6.8,Malicious software controls,In Remediation,Gap,Security,Medium,2024-11-10,Encryption at rest not consistently applied.
COMP-2024-0023,2024-09-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Security,Medium,,
COMP-2024-0024,2024-06-15,SOC 2 Type II,CC4.1,Monitoring controls,In Remediation,Gap,HR,Medium,2024-08-08,Documentation missing for access reviews.
COMP-2024-0025,2024-03-15,ISO 27001,A.9.2,User access management,Compliant,None,Operations,Medium,,
COMP-2024-0026,2025-09-15,PCI DSS,3.4,Render PAN unreadable (masking/encryption),Compliant,None,Finance,Medium,,
COMP-2024-0027,2024-03-15,NIST SP 800-53,CM-2,Baseline configuration,Non-Compliant,Gap,Operations,Medium,2024-04-15,Documentation missing for access reviews.
COMP-2024-0028,2024-06-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,IT,High,,
COMP-2024-0029,2025-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,IT,Low,,
COMP-2024-0030,2024-03-15,ISO 27001,A.9.2,User access management,Compliant,None,Operations,Low,,
COMP-2024-0031,2025-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Security,Critical,,
COMP-2024-0032,2024-06-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,Finance,Medium,,
COMP-2024-0033,2024-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Operations,Low,,
COMP-2024-0034,2024-06-15,NIST SP 800-53,SI-2,Flaw remediation / vulnerability response,Compliant,None,HR,Low,,
COMP-2024-0035,2025-06-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,Operations,Critical,,
COMP-2024-0036,2024-03-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Finance,Low,,
COMP-2024-0037,2024-03-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Non-Compliant,Gap,Operations,Low,2024-06-07,Logs not retained for required period.
COMP-2024-0038,2025-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,HR,High,,
COMP-2024-0039,2024-06-15,PCI DSS,10.2,Implement audit trails,Compliant,None,Operations,High,,
COMP-2024-0040,2024-12-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,Finance,Medium,,
COMP-2024-0041,2024-03-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,IT,Low,,
COMP-2024-0042,2024-12-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Security,Low,,
COMP-2024-0043,2024-03-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Non-Compliant,Gap,IT,High,2024-04-18,Third-party access controls not demonstrated.
COMP-2024-0044,2025-06-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,HR,High,,
COMP-2024-0045,2024-03-15,SOC 2 Type II,CC6.8,Malicious software controls,In Remediation,Gap,Operations,Medium,2024-04-29,Logs not retained for required period.
COMP-2024-0046,2025-03-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Other,High,,
COMP-2024-0047,2025-09-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,HR,Medium,,
COMP-2024-0048,2024-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Finance,Medium,,
COMP-2024-0049,2024-06-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Other,High,,
COMP-2024-0050,2024-03-15,ISO 27001,A.7.2,"Awareness, education and training",Non-Compliant,Weakness,Operations,Critical,2024-04-21,Encryption at rest not consistently applied.
COMP-2024-0051,2024-09-15,ISO 27001,A.9.2,User access management,Compliant,None,Security,High,,
COMP-2024-0052,2024-12-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Security,Medium,,
COMP-2024-0053,2025-06-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Finance,Medium,,
COMP-2024-0054,2024-06-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,IT,Medium,,
COMP-2024-0055,2024-06-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Security,High,,
COMP-2024-0056,2025-06-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,HR,Medium,,
COMP-2024-0057,2024-12-15,PCI DSS,8.1.1,Assign unique IDs to users,Compliant,None,Finance,High,,
COMP-2024-0058,2024-12-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,Security,Low,,
COMP-2024-0059,2024-12-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,Operations,High,,
COMP-2024-0060,2025-03-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Operations,Medium,,
COMP-2024-0061,2024-12-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Finance,Low,,
COMP-2024-0062,2025-03-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Finance,Low,,
COMP-2024-0063,2024-03-15,SOC 2 Type II,CC6.8,Malicious software controls,Non-Compliant,Gap,Finance,Medium,2024-06-01,Documentation missing for access reviews.
COMP-2024-0064,2025-03-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,HR,Medium,,
COMP-2024-0065,2024-12-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Other,High,,
COMP-2024-0066,2024-03-15,ISO 27001,A.12.4,Logging and monitoring,Non-Compliant,Gap,Security,Critical,2024-05-05,Encryption at rest not consistently applied.
COMP-2024-0067,2024-03-15,ISO 27001,A.9.2,User access management,Compliant,None,IT,High,,
COMP-2024-0068,2024-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,In Remediation,Gap,Finance,High,2024-07-16,Logs not retained for required period.
COMP-2024-0069,2024-09-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,IT,Medium,,
COMP-2024-0070,2025-03-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Operations,Low,,
COMP-2024-0071,2024-03-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,Operations,Low,,
COMP-2024-0072,2024-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Finance,Low,,
COMP-2024-0073,2025-09-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,Other,Medium,,
COMP-2024-0074,2024-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Operations,Medium,,
COMP-2024-0075,2024-09-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,IT,Low,,
COMP-2024-0076,2025-03-15,NIST SP 800-53,AU-2,Audit events,Compliant,None,Finance,Medium,,
COMP-2024-0077,2024-09-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Operations,Low,,
COMP-2024-0078,2025-06-15,NIST SP 800-53,SI-2,Flaw remediation / vulnerability response,Compliant,None,IT,Low,,
COMP-2024-0079,2025-06-15,PCI DSS,8.1.1,Assign unique IDs to users,Compliant,None,Operations,Low,,
COMP-2024-0080,2025-06-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,IT,High,,
COMP-2024-0081,2025-06-15,NIST SP 800-53,AU-2,Audit events,Compliant,None,HR,Low,,
COMP-2024-0082,2025-06-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,IT,Medium,,
COMP-2024-0083,2024-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,IT,Low,,
