Vulnerability_ID,Date_Discovered,System_ID,Vulnerability_Type,Severity,CVSS_Score,Status,Date_Closed,Days_To_Remediate,Remediation_Owner,Business_Impact,Exploit_Available
VUL-2024-0001,2025-06-13,SYS-008,Outdated Software,High,7.5,Closed,2025-07-01,18,Development Team,High,No
VUL-2024-0002,2024-04-03,SYS-024,Weak Authentication,Critical,9.0,Open,,,Development Team,High,No
VUL-2024-0003,2024-05-16,SYS-022,Misconfiguration,Critical,9.9,In Progress,,,Security Team,High,No
VUL-2024-0004,2025-06-04,SYS-024,Cross-Site Scripting,Medium,6.8,Closed,2025-06-19,15,Infrastructure Team,Medium,No
VUL-2024-0005,2024-12-31,SYS-023,SQL Injection,Medium,5.7,Closed,2025-01-16,16,IT Operations,Medium,No
VUL-2024-0006,2025-06-26,SYS-030,SQL Injection,Critical,9.3,Open,,,IT Operations,High,No
VUL-2024-0007,2025-07-27,SYS-016,Outdated Software,High,8.8,In Progress,,,Security Team,High,No
VUL-2024-0008,2025-04-30,SYS-018,Misconfiguration,Critical,9.5,In Progress,,,Security Team,High,Yes
VUL-2024-0009,2025-10-09,SYS-026,Cross-Site Scripting,Low,3.0,Closed,2025-10-23,14,Security Team,Low,Yes
VUL-2024-0010,2025-07-06,SYS-016,Outdated Software,Critical,9.8,Closed,2025-09-06,62,IT Operations,High,No
VUL-2024-0011,2025-03-17,SYS-029,SQL Injection,Low,1.0,Closed,2025-03-27,10,Development Team,Low,No
VUL-2024-0012,2025-04-16,SYS-014,SQL Injection,High,7.2,Closed,2025-05-14,28,Security Team,High,No
VUL-2024-0013,2025-03-12,SYS-013,Buffer Overflow,Low,2.2,In Progress,,,Security Team,Low,No
VUL-2024-0014,2025-05-11,SYS-004,Misconfiguration,Medium,6.8,Closed,2025-05-29,18,Development Team,Medium,No
VUL-2024-0015,2025-06-20,SYS-009,SQL Injection,High,8.6,Closed,2025-07-03,13,Security Team,High,No
VUL-2024-0016,2024-07-02,SYS-018,Weak Authentication,High,8.8,Closed,2024-07-29,27,Security Team,High,No
VUL-2024-0017,2024-11-02,SYS-008,Misconfiguration,Medium,4.3,Closed,2024-11-18,16,Security Team,Medium,Yes
VUL-2024-0018,2024-03-19,SYS-030,SQL Injection,Medium,6.9,Closed,2024-04-04,16,IT Operations,Medium,No
VUL-2024-0019,2025-06-13,SYS-014,Outdated Software,High,7.6,Closed,2025-07-10,27,IT Operations,High,No
VUL-2024-0020,2025-10-07,SYS-020,Outdated Software,Medium,5.9,Closed,2025-10-24,17,IT Operations,Medium,No
VUL-2024-0021,2025-05-16,SYS-009,Cross-Site Scripting,Critical,9.3,In Progress,,,Security Team,High,Yes
VUL-2024-0022,2024-06-26,SYS-020,Weak Authentication,Medium,6.3,Closed,2024-07-09,13,IT Operations,Medium,No
VUL-2024-0023,2025-07-03,SYS-002,Outdated Software,Low,2.4,In Progress,,,Security Team,Low,No
VUL-2024-0024,2025-05-31,SYS-008,Misconfiguration,Medium,5.4,Closed,2025-06-14,14,Development Team,Medium,No
VUL-2024-0025,2024-01-08,SYS-030,Misconfiguration,Medium,5.7,Closed,2024-01-25,17,IT Operations,Low,No
VUL-2024-0026,2025-02-15,SYS-028,Cross-Site Scripting,Medium,6.9,Closed,2025-03-04,17,IT Operations,Medium,No
VUL-2024-0027,2024-11-22,SYS-003,Cross-Site Scripting,High,7.6,Closed,2024-12-17,25,Infrastructure Team,Medium,No
VUL-2024-0028,2025-01-11,SYS-008,SQL Injection,Medium,6.8,Open,,,IT Operations,Medium,No
VUL-2024-0029,2024-03-12,SYS-020,Misconfiguration,Low,2.5,Closed,2024-03-24,12,IT Operations,Low,No
VUL-2024-0030,2025-01-23,SYS-015,SQL Injection,Medium,6.8,Open,,,Security Team,Medium,No
VUL-2024-0031,2024-04-27,SYS-027,Misconfiguration,High,8.8,Closed,2024-05-20,23,Development Team,High,Yes
VUL-2024-0032,2025-07-16,SYS-008,Misconfiguration,High,7.3,Open,,,Development Team,High,No
VUL-2024-0033,2024-12-30,SYS-024,Outdated Software,Critical,9.8,In Progress,,,Development Team,High,No
VUL-2024-0034,2025-01-11,SYS-018,Misconfiguration,Critical,9.4,Closed,2025-02-17,37,Security Team,High,No
VUL-2024-0035,2025-03-08,SYS-026,Outdated Software,Medium,4.1,In Progress,,,Security Team,Medium,No
VUL-2024-0036,2025-10-16,SYS-030,Cross-Site Scripting,High,8.0,In Progress,,,Security Team,Medium,Yes
VUL-2024-0037,2024-03-28,SYS-021,Cross-Site Scripting,High,7.1,Closed,2024-04-20,23,IT Operations,High,No
VUL-2024-0038,2025-07-28,SYS-017,Outdated Software,High,8.2,Open,,,IT Operations,High,No
VUL-2024-0039,2024-09-08,SYS-023,Outdated Software,High,8.9,Closed,2024-10-07,29,IT Operations,Medium,Yes
VUL-2024-0040,2025-06-10,SYS-010,Outdated Software,Medium,4.4,Closed,2025-06-27,17,IT Operations,Medium,No
VUL-2024-0041,2025-04-13,SYS-019,Cross-Site Scripting,Low,2.0,Closed,2025-04-21,8,IT Operations,Low,No
VUL-2024-0042,2024-06-01,SYS-027,Misconfiguration,Medium,6.6,Closed,2024-06-18,17,Security Team,Low,No
VUL-2024-0043,2024-10-31,SYS-013,Cross-Site Scripting,Critical,9.5,Closed,2024-12-30,60,Security Team,High,No
VUL-2024-0044,2024-05-19,SYS-010,Outdated Software,Medium,6.9,Closed,2024-06-08,20,Development Team,Medium,Yes
VUL-2024-0045,2025-08-25,SYS-023,SQL Injection,Medium,6.6,In Progress,,,Development Team,Medium,No
VUL-2024-0046,2024-04-07,SYS-019,Weak Authentication,Medium,6.2,Open,,,IT Operations,Low,No
VUL-2024-0047,2024-10-15,SYS-001,Outdated Software,Critical,9.7,In Progress,,,Development Team,High,Yes
VUL-2024-0048,2024-02-18,SYS-026,Outdated Software,Critical,9.5,Closed,2024-04-01,43,Security Team,High,No
VUL-2024-0049,2025-10-31,SYS-024,Buffer Overflow,High,8.7,Closed,2025-11-19,19,Security Team,Medium,Yes
VUL-2024-0050,2025-05-22,SYS-030,Misconfiguration,Medium,5.1,Closed,2025-06-03,12,IT Operations,Medium,No
VUL-2024-0051,2025-05-19,SYS-012,Weak Authentication,High,8.8,In Progress,,,Security Team,Medium,No
VUL-2024-0052,2025-09-08,SYS-021,Weak Authentication,Medium,6.4,Closed,2025-09-20,12,Security Team,Medium,Yes
VUL-2024-0053,2025-10-04,SYS-003,Misconfiguration,Low,0.6,Closed,2025-10-11,7,Infrastructure Team,Low,No
VUL-2024-0054,2025-02-19,SYS-023,Cross-Site Scripting,Critical,9.9,Closed,2025-04-20,60,IT Operations,High,No
VUL-2024-0055,2025-10-02,SYS-022,Cross-Site Scripting,High,7.8,Open,,,Infrastructure Team,High,No
VUL-2024-0056,2025-04-02,SYS-012,Cross-Site Scripting,High,8.8,Closed,2025-04-28,26,Security Team,High,No
VUL-2024-0057,2024-01-11,SYS-008,Cross-Site Scripting,Low,3.1,Closed,2024-01-16,5,Development Team,Low,No
VUL-2024-0058,2024-04-28,SYS-008,Buffer Overflow,Medium,4.4,Closed,2024-05-11,13,Development Team,Medium,No
VUL-2024-0059,2024-06-06,SYS-003,SQL Injection,Medium,4.4,Open,,,IT Operations,Medium,No
VUL-2024-0060,2024-02-14,SYS-017,Buffer Overflow,Critical,9.1,Open,,,IT Operations,High,Yes
VUL-2024-0061,2025-04-24,SYS-024,Weak Authentication,Low,2.1,Closed,2025-04-28,4,Security Team,Low,No
VUL-2024-0062,2025-07-14,SYS-022,Misconfiguration,High,8.4,Closed,2025-08-03,20,Security Team,High,Yes
VUL-2024-0063,2024-07-21,SYS-019,Buffer Overflow,Low,1.3,Closed,2024-08-03,13,IT Operations,Low,No
VUL-2024-0064,2024-02-23,SYS-003,Weak Authentication,Medium,5.9,Open,,,IT Operations,Low,No
VUL-2024-0065,2025-07-13,SYS-013,SQL Injection,Low,1.3,In Progress,,,Infrastructure Team,Low,No
VUL-2024-0066,2025-01-03,SYS-025,SQL Injection,Critical,9.4,Open,,,IT Operations,High,No
VUL-2024-0067,2025-03-11,SYS-022,Outdated Software,Medium,5.0,In Progress,,,Development Team,Medium,No
VUL-2024-0068,2025-03-12,SYS-003,Misconfiguration,Low,0.9,Closed,2025-03-19,7,Development Team,Low,No
VUL-2024-0069,2025-03-04,SYS-024,Misconfiguration,Medium,4.7,Open,,,IT Operations,Medium,No
VUL-2024-0070,2024-01-09,SYS-022,Outdated Software,Low,3.6,Closed,2024-01-19,10,Development Team,Low,No
VUL-2024-0071,2024-12-05,SYS-023,SQL Injection,Critical,9.1,Closed,2025-01-27,53,IT Operations,High,No
VUL-2024-0072,2024-11-24,SYS-009,Misconfiguration,Medium,5.7,Closed,2024-12-13,19,Development Team,Medium,Yes
VUL-2024-0073,2025-01-14,SYS-015,Outdated Software,Low,1.7,Open,,,Security Team,Low,No
VUL-2024-0074,2025-05-19,SYS-016,Weak Authentication,Critical,9.3,Closed,2025-07-17,59,IT Operations,High,Yes
VUL-2024-0075,2024-10-07,SYS-024,Buffer Overflow,Critical,9.3,Closed,2024-11-12,36,IT Operations,High,No
VUL-2024-0076,2024-02-18,SYS-022,Misconfiguration,Medium,5.6,Open,,,Security Team,Medium,No
VUL-2024-0077,2025-01-03,SYS-026,Misconfiguration,Low,1.7,In Progress,,,Security Team,Low,No
VUL-2024-0078,2025-10-06,SYS-024,Weak Authentication,High,7.9,Closed,2025-10-31,25,Development Team,High,No
VUL-2024-0079,2025-02-13,SYS-026,Buffer Overflow,Low,1.4,Open,,,IT Operations,Low,No
VUL-2024-0080,2025-02-25,SYS-010,Buffer Overflow,Low,3.7,Open,,,Security Team,Low,No
VUL-2024-0081,2024-03-05,SYS-024,Weak Authentication,Medium,4.2,Closed,2024-03-22,17,Development Team,Low,No
VUL-2024-0082,2025-10-19,SYS-021,Weak Authentication,Low,1.3,Closed,2025-10-23,4,IT Operations,Low,No
VUL-2024-0083,2025-04-26,SYS-008,SQL Injection,High,7.7,Closed,2025-05-19,23,IT Operations,High,No
VUL-2024-0084,2024-02-28,SYS-030,SQL Injection,Low,2.4,Closed,2024-03-07,8,IT Operations,Low,No
VUL-2024-0085,2025-05-02,SYS-014,Misconfiguration,High,8.2,Closed,2025-05-24,22,IT Operations,Medium,No
VUL-2024-0086,2025-06-27,SYS-010,Buffer Overflow,High,7.2,Closed,2025-07-25,28,Development Team,Medium,No
VUL-2024-0087,2025-04-12,SYS-011,Outdated Software,Critical,9.4,Closed,2025-06-02,51,IT Operations,High,No
VUL-2024-0088,2025-04-03,SYS-009,Misconfiguration,High,8.3,Closed,2025-05-02,29,Development Team,Medium,No
VUL-2024-0089,2024-03-03,SYS-019,Cross-Site Scripting,High,8.7,In Progress,,,Security Team,Medium,Yes
VUL-2024-0090,2025-03-21,SYS-024,Cross-Site Scripting,Low,2.6,Open,,,IT Operations,Low,No
VUL-2024-0091,2024-11-12,SYS-009,Cross-Site Scripting,Medium,5.0,Closed,2024-11-26,14,Infrastructure Team,Medium,No
VUL-2024-0092,2025-06-17,SYS-024,Buffer Overflow,Medium,6.6,Open,,,IT Operations,Medium,No
VUL-2024-0093,2025-05-20,SYS-024,Cross-Site Scripting,High,8.4,Closed,2025-06-17,28,IT Operations,High,No
VUL-2024-0094,2024-09-24,SYS-024,Cross-Site Scripting,Low,2.1,Closed,2024-10-03,9,Infrastructure Team,Low,No
VUL-2024-0095,2025-05-19,SYS-030,Misconfiguration,Medium,6.2,Closed,2025-06-04,16,IT Operations,Medium,No
VUL-2024-0096,2025-03-28,SYS-008,Weak Authentication,Medium,5.4,Closed,2025-04-12,15,Security Team,Low,No
VUL-2024-0097,2024-09-25,SYS-005,Outdated Software,Low,3.5,Closed,2024-10-05,10,Infrastructure Team,Low,No
VUL-2024-0098,2025-01-12,SYS-028,Outdated Software,Medium,4.2,Closed,2025-01-23,11,Security Team,Medium,No
VUL-2024-0099,2024-11-04,SYS-025,Weak Authentication,Medium,5.0,Closed,2024-11-13,9,Security Team,Low,No
VUL-2024-0100,2024-03-23,SYS-014,Weak Authentication,Medium,4.0,Closed,2024-04-09,17,Security Team,Medium,No
VUL-2024-0101,2025-04-14,SYS-003,Outdated Software,Medium,4.7,Closed,2025-04-27,13,IT Operations,Low,No
VUL-2024-0102,2024-02-29,SYS-016,Misconfiguration,High,7.0,In Progress,,,IT Operations,High,Yes
VUL-2024-0103,2024-12-22,SYS-022,Misconfiguration,Low,3.8,Open,,,Security Team,Low,No
VUL-2024-0104,2025-04-12,SYS-008,SQL Injection,High,7.7,Closed,2025-05-08,26,Development Team,High,No
VUL-2024-0105,2025-05-11,SYS-004,Outdated Software,High,8.0,In Progress,,,Infrastructure Team,High,Yes
VUL-2024-0106,2024-02-23,SYS-024,Misconfiguration,Critical,9.0,Closed,2024-04-02,39,Security Team,High,Yes
VUL-2024-0107,2025-10-17,SYS-012,Misconfiguration,Medium,5.4,Closed,2025-11-03,17,Security Team,Medium,No
VUL-2024-0108,2025-08-11,SYS-008,Outdated Software,Medium,5.3,In Progress,,,Security Team,Medium,No
